Date,AAPL,AMZN,AVGO,BRK-B,GOOG,INTC,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,TSLA,XOM
2020-01-02,322307768981.8573,47051402805.64545,11054100273.465992,215024845.0153656,663000000000.0,233449142646.78955,375040030377.1084,118267678028.42447,35942819399.664154,478000000000.0,1165613540411.6045,144722819835.3847,3654503087.9974365,158623396941.597,5170143509.622318,229034311321.12494
2020-01-03,319174343736.6104,46480244196.37802,10772937465.377653,212944165.6843872,663000000000.0,230609671783.44727,370090839413.96313,117874064847.50928,35592141786.45209,478000000000.0,1151099416441.8728,143007084230.83676,3596008358.001709,158064801724.8497,5323351707.680275,227192983492.82672
2020-01-06,321717647849.0448,47172129307.6712,10756822829.097458,213706777.3617096,663000000000.0,229957364273.0713,369796578587.0098,118312391149.65695,35686929929.22421,478000000000.0,1154075228008.3179,147364431041.49088,3611089548.110962,158888078397.28165,5425850912.675259,228937452848.29297
2020-01-07,320204547161.8271,47270795496.38031,10719790804.634735,212699385.7960968,663000000000.0,226120249557.49512,363509873216.958,118536037333.20035,35566086171.68085,478000000000.0,1143552793696.8938,145135299156.75,3654807752.609253,159240860564.02588,5636376774.803982,227063747400.1812
2020-01-08,325355462589.6454,46901674859.4841,10586067927.576527,212765296.3617096,663000000000.0,226273760032.6538,366345540636.23083,119609481877.52036,36193627127.78577,478000000000.0,1161767824298.2947,148869548024.96118,3661662706.375122,159861052861.25565,5913713712.084427,223639580069.26447
2020-01-09,332266300394.0201,47126764194.91287,10501035698.31931,215269624.903656,663000000000.0,227540009880.06592,367683198620.02295,121586440594.87085,36668147436.98071,478000000000.0,1176281715455.3547,147289841410.29794,3701876684.188843,160599373528.56445,5783937194.298965,225351655664.52847
2020-01-10,333017477679.2908,46683273218.49014,10259647718.505215,213358419.6229248,663000000000.0,226158664512.63428,364018159321.3181,123447096850.58829,36913708892.495544,478000000000.0,1170839020822.2493,144389322496.92352,3721679592.1325684,160806092058.09784,5745605321.02076,223348794825.7149
2020-01-13,340132152706.2988,46885065319.74243,10326852861.08041,215081331.576828,663000000000.0,228652782440.18555,367041170646.7645,124287929146.42574,37392966926.132965,478000000000.0,1184917203064.6948,148720355371.25912,3838363512.0391846,161190052087.58926,6306887522.79966,225480891757.17398
2020-01-14,335539323457.7942,46343157808.36212,10566866783.438719,213876237.0460968,663000000000.0,228038773727.417,371321532618.0138,125817580846.25652,36850843365.00787,478000000000.0,1176571916450.3145,148619425021.1153,3766769079.208374,162075990390.76233,6463820683.161598,223542705456.04376
2020-01-15,334101242190.78064,46159215950.34393,10394056486.198448,214987192.096344,663000000000.0,226158664512.63428,365756995052.8432,126229096856.18417,37279082051.92618,478000000000.0,1184191642374.128,148786173690.3459,3740720546.722412,161721629752.94495,6230463741.5121155,223187326376.75458
2020-01-16,338286430893.44025,46553873139.91516,10528123067.302748,216286426.1075592,663000000000.0,228921338653.56445,367174864656.701,126515322363.89027,37996778127.4534,478000000000.0,1205890132572.066,148588705341.7694,3791902742.3858643,163700298306.08368,6170262024.947754,222315099769.21582
2020-01-17,336813682617.1875,46226149634.18106,10587783412.892668,216728923.326828,663000000000.0,224853325832.36694,369716390896.42505,124860482714.86829,38395375187.177155,478000000000.0,1212639139104.6648,149049460358.00912,3797234664.916992,162814311058.07114,6134333242.256058,221475153939.15814
2020-01-21,334531136989.7461,46902416255.47348,10563095902.403238,215250805.6270752,663000000000.0,228437408237.45728,366078080827.91516,126050200419.95552,38190149827.60626,478000000000.0,1208284843710.5774,148364909665.55823,3776823011.3983154,163080142717.48352,6575332337.330452,218309426512.7549
2020-01-22,335725187161.56006,46979865578.52289,10731108000.112648,216107542.4190216,663000000000.0,236661868572.2351,365649982414.13983,126631646801.17268,38472487541.91489,478000000000.0,1202479194122.6848,143050967574.0,3809877662.6586914,161603501382.8659,6844017804.709679,217049572329.22336
2020-01-23,337341990314.33105,46908178474.25577,10960149948.496292,215956916.3770752,663000000000.0,238887803123.47412,365275414249.19714,126318581700.38077,38551963149.88675,478000000000.0,1209881240198.6946,153406807168.66324,3851767587.661743,162371360260.7994,6875740663.190308,215692795111.30487
2020-01-24,336369765281.3721,46337192113.01526,11109303847.385406,213584380.2346344,663000000000.0,258317264694.21387,356206404202.3386,124404238933.27524,38396571771.09317,478000000000.0,1194116767972.194,154968957767.79794,3815512790.6799316,159683848069.92722,6787060088.542213,214239143280.16565
2020-01-27,326478767611.38916,45508337267.996185,10596014100.512968,209432445.576828,663000000000.0,247829115833.28247,353210193895.52985,123724400244.65396,37459396030.09552,478000000000.0,1174147412798.9363,150458025951.7306,3658919849.395752,155608309176.3115,6705348820.384781,209135116569.91107
2020-01-28,335714705130.9204,46128359507.551544,10914205139.421137,210919987.2807312,663000000000.0,253940870910.64453,359630760781.8846,124574213255.86346,37993229508.277466,478000000000.0,1197155194344.2917,152932888488.60617,3777279716.491699,157882347599.4873,6812053605.801048,208844412028.3052
2020-01-29,342741771677.85645,46246591007.198456,10886774066.391607,211362484.5,663000000000.0,250243657104.4922,359095721517.84863,125164611051.58687,37999156337.98648,478000000000.0,1215822366786.6506,150580891277.79794,3740263841.6290283,157114500957.76367,6981363885.947754,207100039515.1714
2020-01-30,342245210513.0005,46562200367.59546,10807569631.346367,214544694.8770752,663000000000.0,250771821182.25098,363536554588.19104,127624609192.3175,38490279249.01614,478000000000.0,1250118053181.1362,152590619838.03882,3744376230.239868,157439384566.0057,7700180880.209679,209296649580.4264
2020-01-31,327070468226.31836,49998088264.77103,10463317024.492983,211296573.9343872,663000000000.0,241189147731.781,347036227955.4789,124914132600.1741,37479562208.40512,478000000000.0,1231667563016.7266,151427784896.45206,3601492904.663086,154899538955.83725,7817459951.786156,200722992407.3952
2020-02-03,326172318435.3638,49885584137.48093,10465718400.444149,210392760.2192688,663000000000.0,243037770950.31738,349684282259.13776,126130733849.64587,38497406401.96591,478000000000.0,1261694364811.5752,157092780342.0,3660900753.02124,156789641821.94138,9372732616.0,196231601291.10013
